인덱스,공모전명,기업명,기업형태,시상규모,공모분야,참여대상,접수기간,활동혜택
80424,제2회 해외에서 겪은 사건사고 경험담 공모전,대한민국 외교부,공공기관/공기업,1050만 원,사진/영상/UCC,대상 제한 없음,22.3.2 ~ 22.4.29,기타
80425,[데이콘 베이직11] 손동작 분류 경진대회(~03월 18일),데이콘,기타,-,광고/마케팅,대상 제한 없음,22.3.3 ~ 22.3.18,기타
80440,살찌는 건 싫지만 빵은 먹고 싶어! <빵빵런2022> 5월 14일(토) 개최!,1986프로덕션,기타,-,기타,대상 제한 없음,22.3.3 ~ 22.5.13,기타
80445,국내최초 NFT연계형 패션디자인 공모전 2022 S/S,주식회사 어이사컴퍼니,중소기업,720만 원,디자인/순수미술/공예,대상 제한 없음,22.3.1 ~ 22.3.31,"실제상용화, 기타"
80450,제10회 한국창작문화예술대전,세계미술작가교류협회,비영리단체/협회/재단,-,디자인/순수미술/공예,대상 제한 없음,22.3.2 ~ 22.4.8,기타
80509,부산 기장 나만의 레시피 / 명소 / 맛집 공유 이벤트,한국수력원자력주식회사,공공기관/공기업,345만 원,사진/영상/UCC,대상 제한 없음,22.3.3 ~ 22.3.31,기타
80531,제60회 진해군항제 전국예술경연대회 전국학생미술공모전,진해예총 / 한국미술협회진해,비영리단체/협회/재단,-,예체능/패션,청소년,22.3.25 ~ 22.3.30,상장 수여
80532,진해군항제 제3회 창원 사랑 전국 사진 공모전,진해예총 / 한국사진작가협회 진해,비영리단체/협회/재단,-,사진/영상/UCC,"대학생, 직장인/일반인",22.3.10 ~ 22.3.31,상장 수여
80533,2022 LMO 안전관리 신규 캐릭터 네이밍 공모전,한국생명공학연구원 국가연구안전관리본부,비영리단체/협회/재단,80만 원,네이밍/슬로건,대상 제한 없음,22.3.3 ~ 22.3.18,기타
80534,수도권대기환경청 탄소중립 슬로건·손글씨 공모전,환경부 수도권대기환경청,공공기관/공기업,120만 원,네이밍/슬로건,대상 제한 없음,22.3.4 ~ 22.4.15,기타
80535,제11회 의암 류인석 전국 휘호대회,춘천문화원,비영리단체/협회/재단,531만 원,디자인/순수미술/공예,대상 제한 없음,22.4.1 ~ 22.4.8,기타
80536,"2022 제천한방바이오박람회 슬로건, 포스터 공모전",제천시 / 제천한방바이오진흥재단,공공기관/공기업,200만 원,디자인/순수미술/공예,대상 제한 없음,22.3.3 ~ 22.4.13,기타
80537,2022년도 제1회 고기아찌 영상광고 공모전,(주)한박스마일,중소기업,50만 원,광고/마케팅,대상 제한 없음,22.3.7 ~ 22.4.10,기타
80593,제4회 유니버설디자인 아이디어 대전,한국장애인개발원,공공기관/공기업,1950만 원,건축/건설/인테리어,대상 제한 없음,22.7.25 ~ 22.7.29,"해외연수, 전시기회"
80595,제4회 상생연대 대학 동아리 지원사업,재단법인 공공상생연대기금,비영리단체/협회/재단,5000만 원,기획/아이디어,대학생,22.4.1 ~ 22.4.15,기타
80610,2022 대구x청년 소셜리빙랩,대구경북연구원(창의도시재생지원센터),공공기관/공기업,1000만 원,기획/아이디어,"대학생, 직장인/일반인",22.2.28 ~ 22.3.25,"기타, 상장 수여"
80621,"인천공항과 함께 꿈, 그리고 세상을 잇는 제14회 전국장애인문학공모전",인천광역시중구장애인종합복지관,비영리단체/협회/재단,950만 원,문학/시나리오,대상 제한 없음,22.3.7 ~ 22.4.15,상장 수여
80626,마이지놈박스 스튜디오! 웹툰작가를 찾아라!!,(주)마이지놈박스스튜디오,중소기업,300만 원,캐릭터/만화/게임,"대학생, 직장인/일반인",22.3.4 ~ 22.3.25,"입사시 가산점, 기타"
80637,[과학기술정보통신부 주최] 대학(원)생 나노기술 공모전 '나노영챌린지 2022',나노기술연구협의회,비영리단체/협회/재단,600만 원,과학/공학,대학생,22.2.28 ~ 22.4.3,기타
80692,2022 제5회 경남고성 국제한글디카시 공모전,디카시연구소,기타,350만 원,문학/시나리오,대상 제한 없음,22.2.21 ~ 22.3.20,기타
80693,블라이스 로맨스 정식연재 공모전,스토리위즈,중소기업,2000만 원,문학/시나리오,대상 제한 없음,22.3.4 ~ 22.4.5,기타
80694,제1회 서귀포 칠십리 문학상 공모전,서귀포 문인협회,비영리단체/협회/재단,1000만 원,문학/시나리오,대상 제한 없음,22.3.10 ~ 22.4.30,기타
80695,2022년 제주시 정책 아이디어 공모전,제주시,공공기관/공기업,440만 원,기획/아이디어,대상 제한 없음,22.2.3 ~ 22.6.30,기타
80697,2022년 참빛아이디어 공개오디션,김제시,공공기관/공기업,330만 원,기획/아이디어,"대학생, 직장인/일반인",22.2.12 ~ 22.3.18,기타
80698,2022 학생 철도 창의 작품전,(사)한국철도학회,비영리단체/협회/재단,570만 원,기획/아이디어,대학생,22.5.2 ~ 22.5.31,상장 수여
80724,Business Case Competition,"홍콩 비즈니스스쿨, 아시아 케이스 리서치 센터",공공기관/공기업,1000만 원,학술,대학생,22.3.2 ~ 22.3.20,"입사시 가산점, 상장 수여"
80760,제18회 대한민국청소년박람회 「나는 대한민국 청소년이다」의 청소년 강연자 100명 모집,한국청소년활동진흥원,공공기관/공기업,270만 원,기획/아이디어,"청소년, 대학생",22.3.4 ~ 22.4.17,기타
80764,제2회 IBK 학술논문 연구지원사업 공모,IBK경제연구소,공공기관/공기업,800만 원,학술,"대학생, 직장인/일반인",22.3.4 ~ 22.3.20,상장 수여
80765,2022 서울 정동 역사재생 주민공모사업,서울정동사회적협동조합,공공기관/공기업,2000만 원,기획/아이디어,"대학생, 직장인/일반인",22.3.24 ~ 22.3.25,기타
80773,블루베이 NFT 작품 공모전,주식회사 델리오,중소기업,1억 원,디자인/순수미술/공예,대상 제한 없음,22.3.1 ~ 22.3.18,"실제상용화, 기타"
80777,[통계청] 통계데이터 인공지능 활용대회,통계청,공공기관/공기업,800만 원,기획/아이디어,"대학생, 직장인/일반인",22.3.7 ~ 22.3.21,상장 수여
80785,근로복지공단 중소기업퇴직연금기금 명칭-캐치프레이즈 공모전(~3/25),근로복지공단,공공기관/공기업,500만 원,기획/아이디어,대상 제한 없음,22.3.10 ~ 22.3.25,기타
80806,[동덕여대 드림 캠퍼스타운] 2022 DC 창업 아이디어 경진대회,동덕여대캠퍼스타운사업단,비영리단체/협회/재단,600만 원,기획/아이디어,대상 제한 없음,22.2.21 ~ 22.3.13,"실제상용화, 상장 수여"
80810,제9회 산업안전보건 조사자료 논문 경진대회,산업안전보건연구원,공공기관/공기업,1050만 원,학술,"대학생, 직장인/일반인",22.3.7 ~ 22.6.19,기타
80826,2022 KTV 편성개방 당신이 트로피의 주인공입니다,KTV 한국정책방송원,공공기관/공기업,6000만 원,사진/영상/UCC,대상 제한 없음,22.1.1 ~ 22.12.31,기타
80836,"생각만 하던 아이디어를 제품으로 만들 수 있는 기회, 투윅스!",패스파인더,중소기업,500만 원,기획/아이디어,대상 제한 없음,22.3.7 ~ 22.4.18,"기타, 상장 수여"
80839,제2회 LX Z:IN 인테리어 디자인 공모전,더콘테스트,중소기업,2800억 원,디자인/순수미술/공예,대학생,22.3.7 ~ 22.5.15,인턴/정규직채용
80867,2022년 제42회 장애인의날 기념 제1회 승가원 어린이 그림공모전,사회복지법인 승가원,비영리단체/협회/재단,60만 원,디자인/순수미술/공예,청소년,22.3.21 ~ 22.4.5,상장 수여
80869,데스커 디자인스토어 STARTER'S GALLERY 2회차 전시작가 모집,"데스커 / 데스커, 캐비넷클럽",중소기업,-,디자인/순수미술/공예,"대학생, 직장인/일반인",22.3.7 ~ 22.3.27,기타
80870,통계청 2022 통계데이터 인공지능 활용대회,통계청 / 한국통계진흥원,공공기관/공기업,800만 원,과학/공학,대상 제한 없음,22.3.7 ~ 22.3.21,"기타, 상장 수여"
80871,"제36회 부산청소년예술제 '청소년, 영상으로 소통하다' 공모전","부산광역시, 부산광역시교육청, 부산예술문화단체총연합회 / 부산영화인협회",중소기업,-,사진/영상/UCC,청소년,22.4.11 ~ 22.4.23,"기타, 상장 수여"
80872,금요문화공감 새이름(네이밍) 공모전,중랑문화재단,비영리단체/협회/재단,20만 원,네이밍/슬로건,대상 제한 없음,22.3.7 ~ 22.3.25,기타
80873,도심형 청년 창업/주거 복합공간 네이밍 공모전,부산광역시/(재)부산테크노파크,공공기관/공기업,140만 원,네이밍/슬로건,대상 제한 없음,22.3.10 ~ 22.3.21,"실제상용화, 기타"
80927,제5회 무중력영화제 MUFF 출품작 모집,무중력지대양천,공공기관/공기업,110만 원,사진/영상/UCC,"대학생, 직장인/일반인",22.3.7 ~ 22.4.28,"기타, 상장 수여"
80930,[부산광역시자원봉사센터] 2022 재능기부 자원봉사 프로그램 공모,부산광역시자원봉사센터,비영리단체/협회/재단,4000만 원,기획/아이디어,대상 제한 없음,22.3.1 ~ 22.3.15,"기타, 상장 수여"
80946,슈퍼레이스 BGM 공모전,셀바이뮤직,중소기업,100만 원,예체능/패션,대상 제한 없음,22.3.8 ~ 22.3.23,"실제상용화, 기타"
80965,제일기획 제43회 아이디어 페스티벌,제일기획,대기업,2650만 원,기획/아이디어,대학생,22.4.25 ~ 22.4.29,"입사시 가산점, 상장 수여"
80969,[추천 공모전] 제13기 국민연금 대학생 홍보대사팀 모집 (~3/21),공모전사무국,기타,-,기획/아이디어,대학생,22.3.7 ~ 22.3.21,기타
80972,제2회 리빙파워센터 ‘우리가족의 꿈’ 미술대회,조이비오,중소기업,185만 원,디자인/순수미술/공예,청소년,22.3.11 ~ 22.4.17,기타
81002,[추천공모전]제2회 국립생태원 연구논문 공모전(~7/31),공모전사무국,공공기관/공기업,1000만 원,학술,대학생,22.3.1 ~ 22.7.31,기타
81006,포스타입 1화 공모전 (3월),포스타입,중소기업,300만 원,문학/시나리오,대상 제한 없음,22.3.1 ~ 22.4.7,기타
81046,제9회 장애인식개선 온라인 공모전,파주시장애인종합복지관,비영리단체/협회/재단,-,디자인/순수미술/공예,대상 제한 없음,22.4.1 ~ 22.4.30,기타
81047,제4회 대청호 벚꽃축제 뮤직비디오 전국 공모전,대전 동구 / 대전 MBC,기타,200만 원,사진/영상/UCC,대상 제한 없음,22.3.8 ~ 22.3.31,상장 수여
81049,포스타입 1화 공모전,포스타입,중소기업,250만 원,문학/시나리오,대상 제한 없음,22.3.1 ~ 22.3.31,기타
81050,부천시 제11회 시가활짝 공모,부천시청,공공기관/공기업,420만 원,문학/시나리오,대상 제한 없음,22.3.4 ~ 22.3.18,상장 수여
81051,"장애인식개선을 위한 제24회 전국 초,중,고등학생 백일장","장애인먼저시런운동본부, 소년한국일보",비영리단체/협회/재단,-,문학/시나리오,청소년,22.4.4 ~ 22.5.15,상장 수여
81053,가파도 인스타그램 사진 공모전,마라도가파도정기여객선,중소기업,350만 원,사진/영상/UCC,대상 제한 없음,22.3.7 ~ 22.5.31,기타
81054,2022 서울대공원 꽃의 숲 학생 정원작품 공모,서울특별시 서울대공원,공공기관/공기업,290만 원,건축/건설/인테리어,대학생,22.4.4 ~ 22.4.5,상장 수여
81142,2022 청년창업 두드림(Do-dream),(재) 성남산업진흥원,비영리단체/협회/재단,1250만 원,창업,직장인/일반인,22.3.1 ~ 22.3.23,기타
81156,[송파구청]21km 송파둘레길 벚꽃나들이 단편영상 공모전,"주최/주관: 송파구청 , 운영대행사: (주)아스트",중소기업,500만 원,사진/영상/UCC,대상 제한 없음,22.3.10 ~ 22.3.18,"실제상용화, 기타"
81158,2022년 제20회 통계청 논문 공모전,통계개발원,공공기관/공기업,1100만 원,학술,대학생,22.3.10 ~ 22.4.24,기타
81206,2nd 칠텐 디자인 공모전,(주)스탯앤코,중소기업,80만 원,디자인/순수미술/공예,"대학생, 직장인/일반인",22.2.21 ~ 22.3.20,기타
81207,몽촌역사관 개관 30주년 기념 공모전,한성백제박물관 몽촌역사관,기타,170만 원,사진/영상/UCC,대상 제한 없음,22.3.2 ~ 22.4.29,기타
81208,한국도로공사 고속도로 사연 공모전 - 그날의 기록,한국도로공사,공공기관/공기업,120만 원,문학/시나리오,대상 제한 없음,22.2.23 ~ 22.3.23,기타
81209,제2회 곡성군 SNS 일러스트 공모전,곡성군,공공기관/공기업,290만 원,디자인/순수미술/공예,대상 제한 없음,22.3.11 ~ 22.4.24,"실제상용화, 기타"
81210,지구의 날 풀무원 29초영화제,"풀무원, 한국경제신문 / 29초영화제사무국",중견기업,4220만 원,사진/영상/UCC,대상 제한 없음,22.3.10 ~ 22.4.10,기타
81211,제6회 백호임제 어린이 글짓기대회,나주시 백호문학관,비영리단체/협회/재단,-,문학/시나리오,청소년,22.3.21 ~ 22.4.9,상장 수여
81212,제21회 국제신문 전국 사진 공모전,"국제신문, 해수관음성지 대한불교 조계종 해동용궁사",기타,850만 원,사진/영상/UCC,대상 제한 없음,22.3.14 ~ 22.7.31,기타
81220,2022년 3월 기타경연대회 골든핑거 서바이벌,골든핑거기타페스티벌위원회,비영리단체/협회/재단,350만 원,디자인/순수미술/공예,대상 제한 없음,22.3.1 ~ 22.3.20,기타
81245,스마일게이트 퓨처랩 스토리 공모전,주식회사 스마일게이트홀딩스,대기업,2500만 원,캐릭터/만화/게임,대상 제한 없음,22.2.4 ~ 22.4.26,"실제상용화, 기타"
81271,"[SURVEY] 부산 세븐브릿지 BI 선정 시민 투표 이벤트 - 세븐브릿지, 너로 정했다!",(주)리컨벤션,중소기업,-,네이밍/슬로건,대상 제한 없음,22.3.10 ~ 22.3.24,기타
81276,파파존스 '진짜 맛난' 피자 레시피 공모전,파파존스,중소기업,550만 원,예체능/패션,대상 제한 없음,22.3.14 ~ 22.4.17,실제상용화
81289,<잘풀리는 순간;담다> 사진 공모전,미래생활,중견기업,500만 원,사진/영상/UCC,대상 제한 없음,22.3.17 ~ 22.3.31,"실제상용화, 기타"
81302,제18회 대한민국청소년박람회 K-유스타(Youth+Star) 경연대회 참가 안내,한국청소년활동진흥원,공공기관/공기업,480만 원,예체능/패션,"청소년, 대학생",22.3.11 ~ 22.4.10,상장 수여
81304,2022 DB-SNUbiz 글로벌 스타트업 챌린지,"DB김준기문화재단, 서울대학교 경영대학",대기업,1억 2000만 원,창업,대학생,22.3.14 ~ 22.4.30,"해외연수, 전시기회"
81341,2022년 미디어 스킬업 캠프 1기 교육생 모집(~4/3),공모전사무국,비영리단체/협회/재단,-,사진/영상/UCC,대상 제한 없음,22.3.4 ~ 22.4.3,기타
81361,부산 남항의 미래 아이디어 공모전,"상지엔지니어링건축사사무소 / 남항재창조연구단 (경성대학교, 한국해양대학교)",기타,1000만 원,기획/아이디어,대학생,22.3.7 ~ 22.3.31,기타
81365,2022 양천구 민관 협치 의제(사업) 공모,양천구청 주민협치과,공공기관/공기업,-,기획/아이디어,대상 제한 없음,22.3.11 ~ 22.4.1,기타
81366,제 1회 아이코리아 아이그리다 공모전,사단법인 아이코리아,비영리단체/협회/재단,450만 원,디자인/순수미술/공예,청소년,22.4.4 ~ 22.4.29,기타
81368,2022 생활발명코리아,특허청 / 한국여성발명협회,비영리단체/협회/재단,1250만 원,기획/아이디어,직장인/일반인,22.2.13 ~ 22.3.31,기타
81369,2021 모빌리티 ICT 창업 아이디어 경진대회,대전·세종·충남 지역혁신플랫폼,중소기업,1000만 원,기획/아이디어,대학생,22.2.7 ~ 22.3.16,기타
81371,2022 OWHC-AP 세계유산도시 온라인 유스포럼,세계유산도시기구 아시아태평양사무처,비영리단체/협회/재단,550만 원,학술,대학생,22.3.21 ~ 22.3.24,기타
81374,필디챌린지:숙박건축물의 새로운 가능성 (참가비 있음),야놀자 클라우드,중소기업,560만 원,건축/건설/인테리어,"대학생, 직장인/일반인",22.2.25 ~ 22.4.11,기타
81377,제 ２회 쿠마 켄고 & 히가시카와 KAGU 디자인 공모전,"「쿠마 켄고＆히가시카와」KAGU 디자인 공모전 실행위원회 / ﻿히가시카와정, 히가시카와정",비영리단체/협회/재단,800만 원,건축/건설/인테리어,대학생,21.10.1 ~ 23.3.31,기타
81433,3M Video Contents Rising Star Contest,3M,중견기업,1200만 원,기획/아이디어,대상 제한 없음,22.3.14 ~ 22.4.4,기타
81439,2022 괴담 기획개발 캠프&괴담 단편 제작지원 공모,(사)부천국제판타스틱영화제,비영리단체/협회/재단,6000만 원,문학/시나리오,대상 제한 없음,22.3.14 ~ 22.5.20,기타
81443,2022년 『덕성 5K(OK)! O2O 창업경진대회』 모집공고,덕성여자대학교 캠퍼스조성단,공공기관/공기업,1250만 원,창업,"대학생, 직장인/일반인",22.3.18 ~ 22.4.11,기타
81458,[경찰청] 2022 사이버범죄 예방 콘텐츠 공모전,경찰청,공공기관/공기업,590만 원,사진/영상/UCC,대상 제한 없음,22.3.14 ~ 22.4.30,"기타, 상장 수여"
81464,[대학탐방] 우리 대학 숏츠로 응원하기 EVENT,인문학협동조합,중소기업,50만 원,사진/영상/UCC,대학생,22.3.3 ~ 22.4.4,기타
81471,제23회 여성창업경진대회,(재)여성기업종합지원센터,기타,4700만 원,기획/아이디어,직장인/일반인,22.3.14 ~ 22.4.15,기타
81493,2022 중구 의류제조 집적지 홍보 UCC 공모전,중구의류패션지원센터,비영리단체/협회/재단,200만 원,사진/영상/UCC,대상 제한 없음,22.2.28 ~ 22.4.4,상장 수여
81501,2022 평창국제평화영화제 거리공연 '팔로우P' 참가팀 모집,(사)평창국제평화영화제,기타,50만 원,예체능/패션,대상 제한 없음,22.3.3 ~ 22.4.3,기타
81514,[데이콘 서포터즈] 데이크루 2기 모집,데이콘,기타,24만 원,과학/공학,대상 제한 없음,22.3.14 ~ 22.3.25,"기타, 상장 수여"
81515,호광 컴퍼니 연극 시놉시스+트리트먼트 공모전- 대상-400만원,Hokwangcompany,중소기업,700만 원,예체능/패션,대상 제한 없음,22.3.7 ~ 22.4.14,기타
81523,대전광역시 청년 공간/정책 홍보 영상 공모전,"대전광역시, 청춘나들목",공공기관/공기업,210만 원,광고/마케팅,"대학생, 직장인/일반인",22.3.15 ~ 22.4.30,상장 수여
81568,한강식품 무항생제&동물복지 닭고기 브랜드 네이밍 공모전,한강식품,중소기업,80만 원,네이밍/슬로건,대상 제한 없음,22.3.8 ~ 22.3.20,기타
81569,메타버스 360헥사월드 SEOUL NFT Ⅱ - 공공프로젝트,데이터킹(주),중소기업,400만 원,과학/공학,대상 제한 없음,22.3.1 ~ 22.3.31,기타
81570,항만트럭예약시스템 이름 공모전,부산항만공사,중소기업,280만 원,네이밍/슬로건,대상 제한 없음,22.3.14 ~ 22.4.1,기타
81571,2022년 제6회 건설관련 대학(원)생 설계VE 경진대회,㈜종합건축사사무소 동일건축,중소기업,1450만 원,건축/건설/인테리어,대학생,22.4.18 ~ 22.5.20,기타
81572,(주)호광컴퍼니 연극시놉시스 + 트리트먼트 공모전,(주)호광컴퍼니,비영리단체/협회/재단,800만 원,문학/시나리오,대상 제한 없음,22.3.7 ~ 22.4.7,기타
81573,제 1회 전국공모 양산미술대전,양산시 / 양산미술협회,비영리단체/협회/재단,1450만 원,디자인/순수미술/공예,"대학생, 직장인/일반인",22.3.16 ~ 22.5.13,기타
81595,"2022년 생명사랑 수기, 표어 공모전",부천시자살예방센터,공공기관/공기업,-,기획/아이디어,대상 제한 없음,22.3.7 ~ 22.4.29,"기타, 상장 수여"
81632,[추천 공모전] 제15기 통일부 유니콘 기자단 모집 (~4/4),공모전사무국,기타,-,기획/아이디어,대상 제한 없음,22.3.14 ~ 22.4.4,기타
81636,"2022 한복교복 디자인 아이디어 공모전 ‘한복, 교복이 되다’",생각나눔소,중소기업,600만 원,디자인/순수미술/공예,대상 제한 없음,22.4.11 ~ 22.4.24,기타
81656,[추천공모전]2022년 경기도 공공디자인 공모전(6/7~6/10),공모전사무국,공공기관/공기업,2100만 원,디자인/순수미술/공예,대상 제한 없음,22.6.7 ~ 22.6.10,기타
81687,2022 USG+ AI·데이터 문제해결 제조혁신 경진대회,(주)인공지능팩토리,중소기업,2000만 원,과학/공학,대학생,22.3.15 ~ 22.3.21,기타
81724,대전·세종·충남 지역 ESG 프로젝트 공모전,대전·세종·충남지역혁신플랫폼,비영리단체/협회/재단,520만 원,기획/아이디어,대학생,22.3.15 ~ 22.3.30,기타
81725,제2회 농업관측 논문 경진대회,농림축산식품부 / 한국농촌경제연구원,비영리단체/협회/재단,5400만 원,학술,"대학생, 직장인/일반인",21.12.2 ~ 22.3.30,기타
81726,2022년 해남 관광기념품 공모전,해남군,공공기관/공기업,1억 원,디자인/순수미술/공예,대상 제한 없음,22.8.1 ~ 22.8.31,기타
81727,제22회 대한민국한지대전,사단법인 한지개발원,비영리단체/협회/재단,5050만 원,디자인/순수미술/공예,대상 제한 없음,22.4.15 ~ 22.4.17,기타
81728,한국수산자원공단 제10회 바다식목일 기념 대국민 공모전,해양수산부 / 한국수산자원공단,비영리단체/협회/재단,410만 원,사진/영상/UCC,대상 제한 없음,22.3.2 ~ 22.3.30,기타
81729,2022 타악페스타 두드리 경연대회,울산쇠부리축제 추진위원회,비영리단체/협회/재단,370만 원,디자인/순수미술/공예,대상 제한 없음,22.3.14 ~ 22.4.1,기타
81730,제9회 김가네 어린이 그림 공모전,김가네,중소기업,900만 원,디자인/순수미술/공예,청소년,22.3.21 ~ 22.4.17,기타
81731,"서울우유, 따뜻한 이야기, 럽우유 공모전",서울우유협동조합,중견기업,-,문학/시나리오,대상 제한 없음,22.3.14 ~ 22.4.3,기타
81738,"밀레니얼 부모들의 성장 플랫폼, 패런트리 서비스 홍보 영상 제작 콘테스트",(주)슬레이트미디어,중소기업,200만 원,사진/영상/UCC,대상 제한 없음,22.3.14 ~ 22.4.10,기타
81741,[채용연계] 제2회 이력서 없는 이력서 대회,팀메모리,중소기업,1000만 원,기획/아이디어,"대학생, 직장인/일반인",22.3.15 ~ 22.4.15,"인턴/정규직채용, 실제상용화"
81750,"[추천 공모전] TV 드라마, 예능 속 문제음주장면 찾기 이벤트 (~3/31)",공모전사무국,기타,-,기획/아이디어,대상 제한 없음,22.3.11 ~ 22.3.31,기타
81751,"[마케팅 인턴] LG생건, 스타트업, 창업 경력의 마케팅 실무자와 함께하는 스타트업 마케팅",주식회사 블랙탠저린,중소기업,300만 원,광고/마케팅,"대학생, 직장인/일반인",22.2.1 ~ 22.4.9,"인턴/정규직채용, 기타"
81766,제3회 연구개발특구 AI SPARK 챌린지 - (참가접수 및 공유이벤트),(주)인공지능팩토리,중소기업,900만 원,과학/공학,대상 제한 없음,22.3.16 ~ 22.3.17,기타
81771,[한국수산자원공단] 제10회 바다식목일 기념 대국민 공모전,한국수산자원공단,공공기관/공기업,180만 원,사진/영상/UCC,대상 제한 없음,22.3.2 ~ 22.3.30,"기타, 상장 수여"
81777,2022 LMO(유전자변형생물체) 안전 콘텐츠 공모전,과학기술정보통신부/국가연구안전관리본부,공공기관/공기업,3030만 원,사진/영상/UCC,대상 제한 없음,22.3.16 ~ 22.6.30,상장 수여
81787,넘블 전략기획 챌린지,피스오브무드,중소기업,150만 원,기획/아이디어,"대학생, 직장인/일반인",22.3.16 ~ 22.3.25,기타
81789,[추천공모전]2022 전기안전 고등학생 영화제(~4/30),한국 전기안전공사,공공기관/공기업,750만 원,사진/영상/UCC,청소년,22.3.16 ~ 22.4.30,"입사시 가산점, 상장 수여"
81803,2022 휴먼이해 인공지능 논문경진대회 - 논문제출 마감일 2주 연장,(주)인공지능팩토리,중소기업,1300만 원,과학/공학,"대학생, 직장인/일반인",22.3.16 ~ 22.5.6,기타
81868,대한비만학회 창립 30주년 기념 로고 & 슬로건 공모전,대한비만학회,비영리단체/협회/재단,300만 원,네이밍/슬로건,대상 제한 없음,22.4.1 ~ 22.4.30,기타
81869,풀무원샘물(주) 프리미임 해양심층수 브랜드 네이밍 공모전,풀무원샘물(주),중소기업,80만 원,네이밍/슬로건,대상 제한 없음,22.3.16 ~ 22.3.31,기타
81871,2022 슈퍼레이스 공식 굿즈 디자인 공모전,(주)슈퍼레이스,중소기업,100만 원,디자인/순수미술/공예,대상 제한 없음,22.3.14 ~ 22.3.27,실제상용화
81872,유통매장 냉장고 문(門) 이름짓기 공모전,한국소비자단체협의회,비영리단체/협회/재단,300만 원,네이밍/슬로건,대상 제한 없음,22.3.4 ~ 22.3.20,기타
81874,2022년 도시재생연계리빙랩 아이디어발굴대회 참가자 모집,"과학기술정보통신부 / 대구가톨릭대학교, 대구테크노파크",비영리단체/협회/재단,140만 원,기획/아이디어,"대학생, 직장인/일반인",22.3.14 ~ 22.4.3,기타
81923,Y x THENCE 서체 콜라보 이벤트_ 스티커 꾸미기 콘테스트,플랜웍스엔터프라이즈,중소기업,-,기타,대상 제한 없음,22.3.2 ~ 22.3.22,기타
81946,낙동강유역환경청 영상콘텐츠 공모전,낙동강유역환경청,공공기관/공기업,600만 원,사진/영상/UCC,"대학생, 직장인/일반인",22.3.14 ~ 22.6.17,상장 수여
81952,알바몬 개강기념 '굿즈 리그 예선',알바몬,중견기업,80만 원,기획/아이디어,대상 제한 없음,22.3.16 ~ 22.3.29,기타
81978,2022 후기청소년 내일설계 참가팀 모집,(재)군포시청소년재단 사회적가치혁신센터,공공기관/공기업,300만 원,기획/아이디어,"청소년, 대학생",22.3.14 ~ 22.3.28,기타
82002,제8회(2022) 통일모의국무회의 경연대회,한반도미래연구원,공공기관/공기업,700만 원,기획/아이디어,대학생,22.4.25 ~ 22.5.14,상장 수여
82005,제 3회 파인드루키 아트포스터 공모전,(주)프라이스어니든,중소기업,310만 원,디자인/순수미술/공예,"대학생, 직장인/일반인",22.4.1 ~ 22.4.30,기타
